2019/11/15 16:21:19 [xorm] [info]  2019/11/15 16:21:19.208028 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.020643 [SQL] SELECT `TABLE_NAME`, `ENGINE`, `TABLE_ROWS`, `AUTO_INCREMENT`, `TABLE_COMMENT` from `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_SCHEMA`=? AND (`ENGINE`='MyISAM' OR `ENGINE` = 'InnoDB' OR `ENGINE` = 'TokuDB') [proxycenter]
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.072230 [SQL] SELECT `COLUMN_NAME`, `IS_NULLABLE`, `COLUMN_DEFAULT`, `COLUMN_TYPE`, `COLUMN_KEY`, `EXTRA`,`COLUMN_COMMENT` FROM `INFORMATION_SCHEMA`.`COLUMNS` WHERE `TABLE_SCHEMA` = ? AND `TABLE_NAME` = ? [proxycenter ip]
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.085543 [SQL] SELECT `INDEX_NAME`, `NON_UNIQUE`, `COLUMN_NAME` FROM `INFORMATION_SCHEMA`.`STATISTICS` WHERE `TABLE_SCHEMA` = ? AND `TABLE_NAME` = ? [proxycenter ip]
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.092280 [SQL] SELECT count(*) FROM `ip` WHERE (id>= ?) []interface {}{0}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.092575 [SQL] SELECT count(*) FROM `ip` WHERE (id>= ?) []interface {}{0}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.092944 [SQL] SELECT `id`, `data`, `type1`, `type2`, `speed` FROM `ip` WHERE (speed <= 5000 and type1=?) []interface {}{"http"}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.105659 [SQL] SELECT `id`, `data`, `type1`, `type2`, `speed` FROM `ip` WHERE (speed <= 5000)
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.144936 [SQL] SELECT `id`, `data`, `type1`, `type2`, `speed` FROM `ip` WHERE `type2`=? LIMIT 1 []interface {}{"https"}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.234449 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{98, "149.28.28.191:8080", "http", 2634}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.283991 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{94, "167.71.124.241:1402", "http", 1263}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.284207 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{119, "167.71.124.241:1402", "http", 1851}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.304590 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{90, "45.76.184.69:8080", "http", 1171}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.304766 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{133, "167.71.124.241:1402", "http", 1347}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.317058 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{61, "45.76.184.69:8080", "http", 2705}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.344738 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{95, "157.245.88.191:8080", "http", 1942}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.359514 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{136, "157.245.88.191:8080", "http", 3416}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.367336 [SQL] DELETE FROM `ip` WHERE `id`=? AND `data`=? AND `type1`=? AND `speed`=? []interface {}{118, "157.245.88.191:8080", "http", 3190}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.855618 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"47.104.149.197:3128", "http", 736, 1}
2019/11/15 16:21:59 [xorm] [info]  2019/11/15 16:21:59.873480 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"47.104.149.197:3128", "http", 757, 1}
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.052041 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"147.139.132.52:3128", "http", 935, 1}
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.087784 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"117.95.214.145:9999", "http", 782, 1}
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.094851 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.094981 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"117.95.214.145:9999", "http", "", 782}
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.099593 [SQL] COMMIT
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.147556 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"47.104.149.197:3128", "http", 1029, 1}
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.767643 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"123.101.237.6:9999", "http", 1502, 1}
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.772723 [SQL] BEGIN TRANSACTION
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.772862 [SQL] INSERT INTO `ip` (`data`,`type1`,`type2`,`speed`) VALUES (?, ?, ?, ?) []interface {}{"123.101.237.6:9999", "http", "", 1502}
2019/11/15 16:22:00 [xorm] [info]  2019/11/15 16:22:00.775433 [SQL] COMMIT
2019/11/15 16:22:01 [xorm] [info]  2019/11/15 16:22:01.033771 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"198.98.56.71:8080", "http", 1914, 1}
2019/11/15 16:22:01 [xorm] [info]  2019/11/15 16:22:01.261233 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"27.42.173.133 :80", "https", 2143, 1}
2019/11/15 16:22:01 [xorm] [info]  2019/11/15 16:22:01.273513 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.114.64.174:9999", "http", 2157, 1}
2019/11/15 16:22:01 [xorm] [info]  2019/11/15 16:22:01.544160 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"167.71.2.77:8080", "http", 2426, 1}
2019/11/15 16:22:01 [xorm] [info]  2019/11/15 16:22:01.859149 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"96.9.69.164:53281", "http", 2742, 1}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.092713 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"198.98.56.71:8080", "http", 2975, 1}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.093413 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"198.98.56.71:8080", "http", 2975, 1}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.125832 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"223.85.196.75:9797", "http", 3009, 1}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.301181 [SQL] UPDATE `ip` SET `data` = ?, `type1` = ?, `speed` = ? WHERE `id`=? []interface {}{"95.31.245.50:36568", "http", 3033, 1}
2019/11/15 16:22:02 [xorm] [info]  2019/11/15 16:22:02.311814 [SQL] BEGIN TRANSACTION
